KNN_Weight,RMSE,R2
0.0,0.9293258811093793,0.6968790247035781
0.01,0.9288772373348912,0.6971716249958947
0.02,0.9284459524840746,0.6974527708023965
0.03,0.9280320507585963,0.6977224621230838
0.04,0.927635555426988,0.6979806989579562
0.05,0.9272564888181974,0.6982274813070142
0.06,0.9268948723153843,0.6984628091702572
0.07,0.9265507263499597,0.6986866825476856
0.08,0.9262240703958781,0.6988991014392995
0.09,0.9259149229641803,0.6991000658450985
0.1,0.925623301597796,0.6992895757650829
0.11,0.925349222866605,0.6994676311992526
0.12,0.9250927023627634,0.6996342321476077
0.13,0.9248537546962957,0.699789378610148
0.14,0.9246323934909573,0.6999330705868736
0.15,0.9244286313803687,0.7000653080777846
0.16,0.9242424800044262,0.700186091082881
0.17,0.9240739500059871,0.7002954196021625
0.18,0.9239230510278376,0.7003932936356294
0.19,0.9237897917099396,0.7004797131832816
0.2,0.923674179686963,0.7005546782451191
0.21,0.9235762215861014,0.700618188821142
0.22,0.9234959230251749,0.7006702449113502
0.23,0.9234332886110209,0.7007108465157437
0.24,0.9233883219381732,0.7007399936343224
0.25,0.9233610255878308,0.7007576862670866
0.26,0.9233514011271176,0.700763924414036
0.27,0.9233594491086322,0.7007587080751707
0.28,0.9233851690702894,0.7007420372504907
0.29,0.9234285595354533,0.7007139119399961
0.3,0.9234896180133607,0.7006743321436868
0.31,0.9235683409998353,0.7006232978615627
0.32,0.9236647239782942,0.7005608090936241
0.33,0.9237787614210415,0.7004868658398706
0.34,0.9239104467908531,0.7004014681003027
0.35000000000000003,0.9240597725428475,0.70030461587492
0.36,0.9242267301266446,0.7001963091637224
0.37,0.9244113099888084,0.7000765479667104
0.38,0.9246135015755745,0.6999453322838836
0.39,0.9248332933358586,0.6998026621152421
0.4,0.925070672724544,0.6996485374607859
0.41000000000000003,0.9253256262060485,0.6994829583205151
0.42,0.9255981392581641,0.6993059246944295
0.43,0.9258881963761723,0.6991174365825292
0.44,0.9261957810772253,0.6989174939848144
0.45,0.926520875904999,0.6987060969012848
0.46,0.9268634624346064,0.6984832453319405
0.47000000000000003,0.9272235212777726,0.6982489392767814
0.48,0.9276010320882692,0.6980031787358079
0.49,0.9279959735675998,0.6977459637090195
0.5,0.9284083234709378,0.6974772941964165
0.51,0.92883805861331,0.6971971701979987
0.52,0.9292851548760224,0.6969055917137663
0.53,0.929749587213325,0.6966025587437192
0.54,0.9302313296593101,0.6962880712878576
0.55,0.930730355335042,0.6959621293461811
0.56,0.9312466364559088,0.69562473291869
0.5700000000000001,0.9317801443391991,0.6952758820053841
0.58,0.9323308494118914,0.6949155766062636
0.59,0.9328987212186561,0.6945438167213285
0.6,0.9334837284300642,0.6941606023505785
0.61,0.934085838850996,0.6937659334940139
0.62,0.9347050194292471,0.6933598101516347
0.63,0.9353412362643241,0.6929422323234407
0.64,0.9359944546164279,0.6925132000094321
0.65,0.9366646389156149,0.6920727132096087
0.66,0.9373517527711352,0.6916207719239708
0.67,0.9380557589809384,0.6911573761525182
0.68,0.9387766195413446,0.6906825258952507
0.6900000000000001,0.9395142956568726,0.6901962211521687
0.7000000000000001,0.9402687477502214,0.689698461923272
0.71,0.9410399354723977,0.6891892482085606
0.72,0.9418278177129854,0.6886685800080344
0.73,0.9426323526105496,0.6881364573216937
0.74,0.9434534975631705,0.6875928801495381
0.75,0.9442912092391015,0.687037848491568
0.76,0.9451454435875435,0.6864713623477832
0.77,0.9460161558495339,0.6858934217181836
0.78,0.9469033005689385,0.6853040266027695
0.79,0.947806831603547,0.6847031770015405
0.8,0.9487267021362602,0.6840908729144969
0.81,0.9496628646863682,0.6834671143416386
0.8200000000000001,0.9506152711209089,0.6828319012829656
0.8300000000000001,0.9515838726661061,0.682185233738478
0.84,0.9525686199188771,0.6815271117081756
0.85,0.9535694628584059,0.6808575351920586
0.86,0.9545863508577779,0.680176504190127
0.87,0.9556192326956662,0.6794840187023805
0.88,0.9566680565680676,0.6787800787288194
0.89,0.957732770100083,0.6780646842694438
0.9,0.9588133203577317,0.6773378353242532
0.91,0.9599096538598011,0.6765995318932481
0.92,0.9610217165897204,0.6758497739764283
0.93,0.9621494540074571,0.6750885615737938
0.9400000000000001,0.9632928110614277,0.6743158946853447
0.9500000000000001,0.9644517322004209,0.6735317733110807
0.96,0.965626161385524,0.6727361974510022
0.97,0.9668160421020521,0.6719291671051089
0.98,0.9680213173714702,0.671110682273401
0.99,0.9692419297633083,0.6702807429558784
1.0,0.970477821407059,0.6694393491525411
